"temp_col_1","Facility ID","Facility Name","Utility","Permitted Capacity","Total WW Flow","Total Reuse","Supplemental Flow","Transfers In","Transfers Out","WW Disposal","Res Irrig/ Landscape","Golf Courses","Ag Irrig","Industrial","Wetlands","Other Reuse","Sprayfields","Recharge/ RIBS","ATP/Other","Surface Water","Deep Well Injection"
"Citrus","FLA011869","Beverly Hills","Rolling Oaks",0.58,0.46,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County",0.5,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County",2,0.7,0.68,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,0.3,NA,NA,NA
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County",0.04,0.02,0.01,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,0.01,NA,NA,NA
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County",1.5,0.69,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA,NA
"Citrus","FLA011848","Crystal River","Crystal River, City of",1.5,0.66,0.3,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,0.36,NA,NA,NA,NA
"Citrus","FLA011847","Inverness","Inverness, City of",1.5,0.53,0.2,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.33,NA,NA,NA,NA
"Hernando","FLA012036","Brooksville","Brooksville, City of",8,1.01,1.01,NA,NA,NA,NA,0.13,0.12,NA,0.76,NA,NA,NA,NA,NA,NA,NA
"Hernando","FLA017223","Hernando County - Airport","Hernando County",3.5,1.64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,NA,NA
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County",0.75,0.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA
"Hernando","FLA012069","Hernando County - Glenn","Hernando County",3,1.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA,NA
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County",0.75,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA
"Hernando","FLA012043","Hernando County - Spring Hill","Hernando County",2.5,1.41,1.32,NA,NA,NA,NA,NA,1.32,NA,NA,NA,NA,NA,0.09,NA,NA,NA
"Levy","FLA012612","Williston","Williston, City of",0.45,0.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA
"Marion","FLA126594","FGUA - Dunnellon","Dunellon, City of",0.49,0.17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA
"Marion","FLA272060","Marion County - NW Regional","Marion County",0.2,0.08,0.08,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marion","FLA012697","Marion County - Oak Run","Marion County",1.6,0.92,0.55,NA,NA,NA,NA,NA,0.49,NA,0.06,NA,NA,NA,0.38,NA,NA,NA
"Marion","FLA190268","Ocala #3","Ocala, City of",4.43,2.29,2.29,NA,NA,0.21,NA,0.68,0.25,NA,NA,1.36,NA,NA,NA,NA,NA,NA
"Marion","FLA012683","On Top of the World Ocala (Bay Laurel)","OTOW Ocala",1.25,0.66,0.49,NA,NA,NA,NA,0.07,0.42,NA,NA,NA,NA,0.17,NA,NA,NA,NA
"Marion","FLA012693","FGUA - Dunellon/Rainbow Springs","Dunellon-Rainbow Springs",0.23,0.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA
"Sumter","FLA188697","Bushnell - Hanson","Bushnell, City of",0.5,0.28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA
"Sumter","FLA013558","Sumter Correctional","Sumter Correctional",0.35,0.31,0.21,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumter","FLA017133","Villages Little Sumter","Villages- North/Central",3,1.54,1.42,NA,NA,NA,NA,0.2,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumter","FLA499951","Villages Central Sumter","Villages- North/Central",1.6,1.24,1.24,NA,NA,NA,NA,NA,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumter","FLA281581","Villages North Sumter","Villages- North/Central",2.8,1.97,3.12,NA,1.15,NA,NA,NA,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumter","FLA105147","Villages South Sumter","Villages- South",6.2,0,1.9,NA,1.9,NA,NA,1.58,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumter","FLA013497","Wildwood","Wildwood, City of",3.55,1.22,0,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
"Sumter","FLA043699","Continental CC - Wildwood","Continental CC",0.2,0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA
"Hardee","FLA119911","Bowling Green","Bowling Green",0.32,0.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA
"Hardee","FLA012022","Hardee Correctional","Hardee Correctional",0.21,0.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA
"Hardee","FLA119890","Wauchula","Wauchula- Master",1.2,0.53,0.53,NA,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA
"Hardee","FLA290980","Hardee County - Wauchula Hills","Wauchula- Master",0.36,0.12,0.12,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA
"Hardee","FLA119903","Zolfo Springs","Zolfo Springs",0.29,0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA
"Highlands","FLA014313","Avon Park","Avon Park",1.5,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA
"Highlands","FLA281484","Lake Placid - North #1","Lake Placid-North",0.25,0.1,0.02,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA
"Highlands","FLA014329","Lake Placid - Tomoka #3","Lake Placid-Tomoka",0.2,0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA
"Highlands","FLA014311","Sebring - Cemetery Rd","Sebring - Cemetery Rd",1.5,1.07,0.02,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,1.05,NA,NA,NA
"Highlands","FLA014328","Sebring - Western Blvd","Sebring - Western Blvd",0.2,0.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA
"Highlands","FLA014389","Sun N Lake Plant #1","Sun N Lake #1",0.7,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA
"Highlands","FLA016268","Sun N Lake Plant #2 (aka #4)","Sun N Lake #2",0.25,0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA
"Polk","FL0021466","Auburndale Allred - South","Auburndale-Master",1.4,0.66,0.78,0.45,0.45,NA,NA,NA,NA,NA,0.78,NA,NA,0.5,NA,NA,NA,NA
"Polk","FLA016559","Auburndale Regional - North","Auburndale-Master",2.67,1.77,0.69,NA,NA,NA,NA,0.19,NA,NA,NA,0.5,NA,0.81,0.27,NA,NA,NA
"Polk","FLA012976","Bartow","Bartow",4,2.26,2.26,NA,NA,NA,NA,NA,NA,NA,2.26,NA,NA,NA,NA,NA,NA,NA
"Polk","FLA013123","Cypress Lakes","Cypress Lakes",0.19,0.11,0.11,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polk","FLA180416","Dundee","Dundee",0.7,0.13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA
"Polk","FLA012983","Frostproof","Frostproof",0.25,0.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA
"Polk","FLA377392","Davenport","Davenport",0.53,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA
"Polk","FLA016529","Ft Meade","Ft Meade",1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Polk","FLA013016","Grenelefe","Grenelefe",0.34,0.13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA
"Polk","FLA012977","Haines City","Haines City",2.97,1.98,0.84,NA,NA,NA,NA,0.2,0.6,NA,NA,NA,0.05,0.25,0.61,0.16,NA,NA
"Polk","FLA021975","Lake Alfred","Lake Alfred",0.9,0.68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.05,NA,NA,NA
"Polk","FLA129844","Lake Wales - Sam Robinson","Lake Wales",2.19,1.15,0.54,NA,NA,NA,NA,0.34,0.16,0.04,NA,NA,NA,0.04,0.57,NA,NA,NA
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO",13.7,7.62,8.16,NA,0.74,NA,4.81,NA,NA,NA,8.16,NA,NA,NA,NA,NA,4.81,NA
"Polk","FLA012985","Lakeland Northside","Lakeland/TECO",8,3.87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polk","FL0020338","Mulberry","Mulberry/TECO",0.75,0.3,0.28,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA
"Polk","FLA011047","Outdoor Resorts Orlando","Outdoor Resorts Orlando",0.13,0.12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA
"Polk","FLA489093","Polk City - Cardinal Hill","Polk City",0.29,0.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0,NA,NA,NA
"Polk","FL0A00002","Polk County - Northeast Regional","Polk County - NERUSA",4.75,3.5,3.67,0.6,NA,NA,NA,3.44,0.23,NA,NA,NA,NA,NA,0.31,NA,NA,NA
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA",1.52,1.09,0.56,NA,NA,NA,NA,0.5,0.07,NA,NA,NA,NA,0.11,0,NA,NA,NA
"Polk","FLA012949","Polk County - Sun Ray","Polk County - Sun Ray",1,0.36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA",4,2.14,1.96,0.26,NA,0.19,NA,1.08,0.14,NA,0.74,NA,NA,NA,NA,NA,NA,NA
"Polk","FLA012968","Polk County - Waverly","Polk County - Waverly",0.13,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
"Polk","FLA013360","Polk Correctional","Polk Correctional",0.31,0.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA
"Polk","FLA760838","Streamsong","Streamsong",0.1,0.02,0.02,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polk","FLA013103","Swiss Golf","Swiss Golf",0.18,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
"Polk","FLA013102","Swiss Village","Swiss Village",0.14,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA
"Polk","FLA129747","Winter Haven #2","Winter Haven #2",1.7,1.25,1.17,NA,NA,NA,NA,0.81,0.27,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"Polk","FL0036048","Winter Haven #3","Winter Haven #3",7.5,4.06,0.01,NA,NA,NA,3.86,0.01,NA,NA,NA,NA,NA,NA,NA,NA,3.86,NA
"Polk","FLA013093","Carefree CC","Carefree Country Club",0.08,0.02,0.02,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polk","FLA013082","Sweetwater","Sweetwater Golf Club",0.07,0.01,0.01,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,0,NA,NA,NA
"Hillsborough","FLA122246","Country Meadows","Country Meadows",0.21,0.12,0.01,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,0.09,NA,NA,NA
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master",30,16.89,11.2,NA,NA,NA,NA,10.29,0.83,0.03,0.05,NA,NA,0.06,NA,1.34,NA,NA
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master",1.7,1.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master",12,9.88,14.2,NA,NA,NA,NA,7.02,1.82,NA,2.26,2.58,0.52,0.02,NA,0.68,NA,NA
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master",10,7.54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master",12,7.24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
