"temp_col_1","Facility ID","Facility Name","Utility","Permitted Capacity","Total WW Flow","Total Reuse","Supplemental Flow","Transfers In","Transfers Out","WW Disposal","Res Irrig/ Landscape","Golf Courses","Ag Irrig","Industrial","Wetlands","Other Reuse","Sprayfields","Recharge/ RIBS","ATP/Other","Surface Water","Deep Well Injection"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB",1.2,0.65,0.55,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,0.11,0.03,NA,NA,NA
"Hillsborough","FL0026557","Plant City","Plant City",10,4.47,0.74,NA,NA,NA,NA,0.29,NA,NA,0.17,0.28,NA,NA,NA,0.22,NA,NA
"Hillsborough","FL0122076","Rice Creek","Rice Creek",0.23,0.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA
"Hillsborough","FLA012169","Riverside","Riverside",0.12,0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA
"Hillsborough","FL0020940","Tampa","Tampa",96,56.12,8.86,NA,NA,NA,52,3.9,NA,NA,4.96,NA,NA,NA,NA,6,51.9,NA
"Hillsborough","FLA012138","Windemere","Windemere",0.19,0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA
"Pasco","FLA012742","Dade City","Dade City",1.5,0.71,0.4,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,0.3,NA,NA,NA
"Pasco","FLA012768","FGUA - Jasmine Lakes","FGUA-Jasmine Lakes",0.31,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA
"Pasco","FLA012773","FGUA - Palm Terrace","FGUA-Palm Terrace",0.13,0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.05,NA,NA,NA
"Pasco","FLA012752","FGUA - Seven Springs","FGUA-Seven Springs",3.09,1.78,1.26,NA,NA,NA,NA,1.16,0.1,NA,NA,NA,NA,0.53,NA,NA,NA,NA
"Pasco","FLA012801","Forest Lakes Estates","Forest Lakes Estates",0.22,0.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA
"Pasco","FL0127434","New Port Richey","New Port Richey",7.5,5.28,0.58,NA,NA,3.97,NA,0.2,0.38,NA,NA,NA,NA,NA,NA,0.41,NA,NA
"Pasco","FLA012741","Pasco Shady Hills","Pasco Co- Master",14,20.48,21.03,NA,3.97,NA,NA,16.7,1.86,NA,0.35,2.12,NA,NA,3.04,0.39,NA,NA
"Pasco","FLA016094","Pasco Wesley Center","Pasco Co- Master",6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pasco","FLA012735","Pasco Embassy Hills","Pasco Co- Master",3.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citrus","FLA011869","Beverly Hills","Rolling Oaks",0.58,0.46,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County",0.5,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County",2,0.7,0.68,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,0.3,NA,NA,NA
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County",0.04,0.02,0.01,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,0.01,NA,NA,NA
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County",1.5,0.69,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA,NA
"Citrus","FLA011848","Crystal River","Crystal River, City of",1.5,0.66,0.3,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,0.36,NA,NA,NA,NA
"Citrus","FLA011847","Inverness","Inverness, City of",1.5,0.53,0.2,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.33,NA,NA,NA,NA
"Hernando","FLA012036","Brooksville","Brooksville, City of",8,1.01,1.01,NA,NA,NA,NA,0.13,0.12,NA,0.76,NA,NA,NA,NA,NA,NA,NA
"Hernando","FLA017223","Hernando County - Airport","Hernando County",3.5,1.64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,NA,NA
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County",0.75,0.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA
"Hernando","FLA012069","Hernando County - Glenn","Hernando County",3,1.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA,NA
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County",0.75,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA
"Hernando","FLA012043","Hernando County - Spring Hill","Hernando County",2.5,1.41,1.32,NA,NA,NA,NA,NA,1.32,NA,NA,NA,NA,NA,0.09,NA,NA,NA
"Levy","FLA012612","Williston","Williston, City of",0.45,0.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA
"Marion","FLA126594","FGUA - Dunnellon","Dunellon, City of",0.49,0.17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA
"Marion","FLA272060","Marion County - NW Regional","Marion County",0.2,0.08,0.08,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marion","FLA012697","Marion County - Oak Run","Marion County",1.6,0.92,0.55,NA,NA,NA,NA,NA,0.49,NA,0.06,NA,NA,NA,0.38,NA,NA,NA
"Marion","FLA190268","Ocala #3","Ocala, City of",4.43,2.29,2.29,NA,NA,0.21,NA,0.68,0.25,NA,NA,1.36,NA,NA,NA,NA,NA,NA
"Marion","FLA012683","On Top of the World Ocala (Bay Laurel)","OTOW Ocala",1.25,0.66,0.49,NA,NA,NA,NA,0.07,0.42,NA,NA,NA,NA,0.17,NA,NA,NA,NA
"Marion","FLA012693","FGUA - Dunellon/Rainbow Springs","Dunellon-Rainbow Springs",0.23,0.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA
"Sumter","FLA188697","Bushnell - Hanson","Bushnell, City of",0.5,0.28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA
"Sumter","FLA013558","Sumter Correctional","Sumter Correctional",0.35,0.31,0.21,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumter","FLA017133","Villages Little Sumter","Villages- North/Central",3,1.54,1.42,NA,NA,NA,NA,0.2,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumter","FLA499951","Villages Central Sumter","Villages- North/Central",1.6,1.24,1.24,NA,NA,NA,NA,NA,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumter","FLA281581","Villages North Sumter","Villages- North/Central",2.8,1.97,3.12,NA,1.15,NA,NA,NA,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumter","FLA105147","Villages South Sumter","Villages- South",6.2,0,1.9,NA,1.9,NA,NA,1.58,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumter","FLA013497","Wildwood","Wildwood, City of",3.55,1.22,0,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA
"Sumter","FLA043699","Continental CC - Wildwood","Continental CC",0.2,0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA
"Hardee","FLA119911","Bowling Green","Bowling Green",0.32,0.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA
"Hardee","FLA012022","Hardee Correctional","Hardee Correctional",0.21,0.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA
"Hardee","FLA119890","Wauchula","Wauchula- Master",1.2,0.53,0.53,NA,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA
"Hardee","FLA290980","Hardee County - Wauchula Hills","Wauchula- Master",0.36,0.12,0.12,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA
"Hardee","FLA119903","Zolfo Springs","Zolfo Springs",0.29,0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA
"Hardee","FLA984841","North Port Southwest Regional","North Port West",2,0.41,1.13,1.13,NA,NA,0.41,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41
"Hardee","FLA013372","Sarasota County - Bee Ridge","Sarasota County - North",12,6.74,7.42,NA,NA,NA,4.03,4.82,2.6,NA,NA,NA,0,0.01,NA,NA,0,4.03
"Hardee","FLA013455","Sarasota County - Central","Sarasota County - North",8,5.38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee","FLA043494","Sarasota County - Venice Gardens","Sarasota County - South",3,2.52,2.25,NA,0.56,NA,0.83,0.94,1.31,NA,NA,NA,NA,NA,NA,NA,NA,0.83
"Hardee","FL0040771","Sarasota City","Sarasota, City of",10.2,6.69,3.65,NA,NA,NA,2.05,3.33,0.22,0.1,NA,NA,NA,NA,NA,0.55,1.38,0.67
"Hardee","FL0041441","Venice - Eastside","Venice, City of",8,3.19,2.61,NA,NA,0.56,0.58,1.63,0.99,NA,NA,NA,NA,NA,NA,NA,NA,0.58
"Hardee","FLA013390","Camelot Lakes","Camelot Lakes",0.17,0.08,0.07,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
